mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,cv_gap
29.32075414657593,0.3703197172343158,0.2194429397583008,0.03298028173582116,10,,8,20,200,"{'max_depth': 10, 'max_features': None, 'min_samples_leaf': 8, 'min_samples_split': 20, 'n_estimators': 200}",0.9320952946156034,0.9319708291824437,0.9302007663651667,0.9315336090232241,0.9324214042756741,0.9316443806924225,0.0007758801866576915,462,0.9509697090060273,0.9500486563785252,0.9515509845092577,0.9514725920910237,0.952277193298476,0.951263827056662,0.0007370344071906317,1.9619446364239512
14.72999291419983,0.17114814799657438,0.18063030242919922,0.01790943821178454,10,,8,20,100,"{'max_depth': 10, 'max_features': None, 'min_samples_leaf': 8, 'min_samples_split': 20, 'n_estimators': 100}",0.9338764803759155,0.9332024766066381,0.9288794179548994,0.9305724315672824,0.9294663589408164,0.9311994330891105,0.001997894523929045,506,0.9497629398701016,0.9497294159037306,0.9515011323228313,0.9517330334844081,0.9516344099457551,0.9508721863053653,0.000922384700818349,1.9672753216254835
8.37902045249939,0.2261092343905092,0.14451370239257813,0.010502677937538979,10,,8,20,50,"{'max_depth': 10, 'max_features': None, 'min_samples_leaf': 8, 'min_samples_split': 20, 'n_estimators': 50}",0.9332196939037415,0.9314859373531713,0.9287638120157002,0.9304647561493494,0.9282202056396659,0.9304308810123258,0.0018197787444295622,579,0.9500033025863954,0.9492385873025675,0.9503775911998673,0.9508057199233324,0.950979050497333,0.9502808503018991,0.0006222017884744783,1.9849969289573277
8.237002611160278,0.42391943744712907,0.1524367332458496,0.04496135511373713,10,sqrt,8,2,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 8, 'min_samples_split': 2, 'n_estimators': 200}",0.924214160091716,0.9341716937522646,0.9309049877672608,0.9329026009131933,0.9285814628674325,0.9301549810783735,0.003521795537800059,617,0.9493111358352815,0.9497007149012019,0.9517695329657222,0.9503840057271841,0.951345648062684,0.9505022074984147,0.0009372853967035792,2.0347226420041276
8.133423233032227,0.24016203862718005,0.19722428321838378,0.03221157430444116,10,log2,8,5,200,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 8, 'min_samples_split': 5, 'n_estimators': 200}",0.924214160091716,0.9341716937522646,0.9309049877672608,0.9329026009131933,0.9285814628674325,0.9301549810783735,0.003521795537800059,617,0.9493111358352815,0.9497007149012019,0.9517695329657222,0.9503840057271841,0.951345648062684,0.9505022074984147,0.0009372853967035792,2.0347226420041276
7.963737630844117,0.5321067619897654,0.21131973266601561,0.03762155659242746,10,sqrt,8,5,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 8, 'min_samples_split': 5, 'n_estimators': 200}",0.924214160091716,0.9341716937522646,0.9309049877672608,0.9329026009131933,0.9285814628674325,0.9301549810783735,0.003521795537800059,617,0.9493111358352815,0.9497007149012019,0.9517695329657222,0.9503840057271841,0.951345648062684,0.9505022074984147,0.0009372853967035792,2.0347226420041276
7.929253959655762,0.08994765329763167,0.19263629913330077,0.027094144228056685,10,sqrt,8,10,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 8, 'min_samples_split': 10, 'n_estimators': 200}",0.924214160091716,0.9341716937522646,0.9309049877672608,0.9329026009131933,0.9285814628674325,0.9301549810783735,0.003521795537800059,617,0.9493111358352815,0.9497007149012019,0.9517695329657222,0.9503840057271841,0.951345648062684,0.9505022074984147,0.0009372853967035792,2.0347226420041276
8.081652212142945,0.42731950824639636,0.14821906089782716,0.03259855904118756,10,log2,8,2,200,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 8, 'min_samples_split': 2, 'n_estimators': 200}",0.924214160091716,0.9341716937522646,0.9309049877672608,0.9329026009131933,0.9285814628674325,0.9301549810783735,0.003521795537800059,617,0.9493111358352815,0.9497007149012019,0.9517695329657222,0.9503840057271841,0.951345648062684,0.9505022074984147,0.0009372853967035792,2.0347226420041276
8.132011127471923,0.2614421228692371,0.22557272911071777,0.02707412974437955,10,log2,8,10,200,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 8, 'min_samples_split': 10, 'n_estimators': 200}",0.924214160091716,0.9341716937522646,0.9309049877672608,0.9329026009131933,0.9285814628674325,0.9301549810783735,0.003521795537800059,617,0.9493111358352815,0.9497007149012019,0.9517695329657222,0.9503840057271841,0.951345648062684,0.9505022074984147,0.0009372853967035792,2.0347226420041276
8.048363733291627,0.30509527129853226,0.1868588447570801,0.03880441863085266,10,sqrt,8,20,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 8, 'min_samples_split': 20, 'n_estimators': 200}",0.9238015263967857,0.9327400966648496,0.9288336010108432,0.9300800835960832,0.9292902499520304,0.9289491115241184,0.0029078520221504085,677,0.9474455242806801,0.9486976561935478,0.950578689946228,0.9501450171916398,0.9498535534164461,0.9493440882057083,0.0011355793959839093,2.039497668158985
