batch_size,dense1,dense2,dropout,epochs,l2,learning_rate,mean_val_acc,std_val_acc,mean_val_f1_weighted,std_val_f1_weighted,mean_val_f1_macro,std_val_f1_macro,mean_val_f1,std_val_f1,early_stopping,early_stopping_patience,cv_splits,time_sec
16,25,8,0.0,20,0.0,0.001,0.926920310829933,0.001791067504976164,0.9269032515961868,0.0017911755931213566,0.937869356256015,0.0012377980207040964,0.9269032515961868,0.0017911755931213566,True,5,3,71.21353054046631
16,25,8,0.0,20,0.0,0.0005,0.923197557871756,0.0004892322360849525,0.9232785789351677,0.0005201563771061655,0.9347738323042778,0.000341645806370812,0.9232785789351677,0.0005201563771061655,True,5,3,74.26591277122498
16,25,8,0.0,20,0.0001,0.001,0.9252547679425924,0.0016301825809301677,0.9252461080749484,0.0016658215697954043,0.9358389866347595,0.0017484524903134725,0.9252461080749484,0.0016658215697954043,True,5,3,73.55515313148499
16,25,8,0.0,20,0.0001,0.0005,0.9240793345015111,0.001552470274825784,0.9241236315648175,0.0016514019098843122,0.93554768925123,0.0015909206036464286,0.9241236315648175,0.0016514019098843122,True,5,3,71.87917017936707
16,25,8,0.0,40,0.0,0.001,0.9283897753875224,0.002535482946058136,0.9284332536960619,0.002425573176777388,0.9388983472182799,0.0016078171485975066,0.9284332536960619,0.002425573176777388,True,5,3,115.0191171169281
16,25,8,0.0,40,0.0,0.0005,0.9271160148545027,0.0008627350753844696,0.927179165364604,0.0009504390481705703,0.9383599203487899,0.0005779498936571128,0.927179165364604,0.0009504390481705703,True,5,3,141.37489247322083
16,25,8,0.0,40,0.0001,0.001,0.9274101611418359,0.002082112720999117,0.9274518191708796,0.002129642427997327,0.9383549088689348,0.0014279842657773884,0.9274518191708796,0.002129642427997327,True,5,3,133.0998613834381
16,25,8,0.0,40,0.0001,0.0005,0.926626682811313,0.003663461216828401,0.926693842190355,0.003651199346733247,0.9377090044478434,0.0026831571266148807,0.926693842190355,0.003651199346733247,True,5,3,145.16543745994568
16,25,8,0.4,20,0.0,0.001,0.9184950179116548,0.00229072856654141,0.91822331837467,0.0022560734038622153,0.9286303088835903,0.003956193146043728,0.91822331837467,0.0022560734038622153,True,5,3,87.42655324935913
16,25,8,0.4,20,0.0,0.0005,0.9118335373872427,0.00457770821077606,0.9110721991712284,0.004860482756069442,0.9208315947323165,0.006305116398627332,0.9110721991712284,0.004860482756069442,True,5,3,91.14860343933105
16,25,8,0.4,20,0.0001,0.001,0.9170258700738342,0.00013315662607615153,0.9167234675766237,0.0005924535075800702,0.9296139845357626,0.0007486670628853314,0.9167234675766237,0.0005924535075800702,True,5,3,86.98174667358398
16,25,8,0.4,20,0.0001,0.0005,0.9109521350626694,0.00267375568556996,0.910345272580925,0.0027654471878647124,0.9211186873731818,0.0028872125229828555,0.910345272580925,0.0027654471878647124,True,5,3,92.87231779098511
16,25,8,0.4,40,0.0,0.001,0.9179079922160646,0.0034022710364540257,0.9176295060277243,0.0034671358250205064,0.9299839480046131,0.002398682650627402,0.9176295060277243,0.0034671358250205064,True,5,3,160.16091752052307
16,25,8,0.4,40,0.0,0.0005,0.916242161401661,0.0004800089964682775,0.9160734771266883,0.0003183332120114755,0.9276927591601005,0.0014926776080886575,0.9160734771266883,0.0003183332120114755,True,5,3,154.47012281417847
16,25,8,0.4,40,0.0001,0.001,0.9170257836957155,0.0005657095631935965,0.9168807867277854,0.0005765000062149537,0.9289750781582177,0.0013029737717673553,0.9168807867277854,0.0005765000062149537,True,5,3,128.94744062423706
16,25,8,0.4,40,0.0001,0.0005,0.9119323251624816,0.0036771157111512008,0.9115297721129422,0.0038103569344089855,0.9245011969913431,0.0024847649451620614,0.9115297721129422,0.0038103569344089855,True,5,3,152.08662176132202
16,25,16,0.0,20,0.0,0.001,0.9275082003067115,0.002792568411304891,0.9275560024253992,0.002773087250887871,0.938704177678613,0.0019361543122257637,0.9275560024253992,0.002773087250887871,True,5,3,79.54582595825195
16,25,16,0.0,20,0.0,0.0005,0.922903929853136,0.002452722598873848,0.9229769163750784,0.002314888496488278,0.9339385130922802,0.0012940771854424856,0.9229769163750784,0.002314888496488278,True,5,3,77.2559061050415
16,25,16,0.0,20,0.0001,0.001,0.9270183499948086,0.002634315398559039,0.9271044135045449,0.002632933366793447,0.9380457370843449,0.0021367276761447176,0.9271044135045449,0.002632933366793447,True,5,3,92.20424437522888
16,25,16,0.0,20,0.0001,0.0005,0.9249608232042031,0.00036468606491489954,0.9250225228415584,0.00044184867547670517,0.9362398904398561,0.0007726654422974001,0.9250225228415584,0.00044184867547670517,True,5,3,84.40834665298462
16,25,16,0.0,40,0.0,0.001,0.9269204547934645,0.002832758737992874,0.9269691519297169,0.002693784686883493,0.9374933188945779,0.0021180450842637065,0.9269691519297169,0.002693784686883493,True,5,3,127.01386404037476
16,25,16,0.0,40,0.0,0.0005,0.9285857961318612,0.0028198424173352713,0.92862408571219,0.0028175641100729822,0.9390937718208446,0.001939963575259957,0.92862408571219,0.0028175641100729822,True,5,3,131.9319043159485
16,25,16,0.0,40,0.0001,0.001,0.9289775784861821,0.00232142636994701,0.9289287338616635,0.0022940567367006922,0.9392793449600857,0.001438370966035394,0.9289287338616635,0.0022940567367006922,True,5,3,117.13481760025024
16,25,16,0.0,40,0.0001,0.0005,0.9280961185761961,0.0038175658300412113,0.9281588032354228,0.003798480276133865,0.938720405116899,0.002752558104602406,0.9281588032354228,0.003798480276133865,True,5,3,130.50462985038757
